Category;Stimulus;Average amount of motion
02_Sol1_Arg;Sol_Arg8_P3_MR;359.4100591177988
02_Sol1_Arg;Sol_Arg3_P1_FL;890.4922622711607
02_Sol1_Arg;Sol_Arg3_P1_MR;784.1678547239344
02_Sol1_Arg;Sol_Arg2_P2_MR;1046.8471876543686
02_Sol1_Arg;Sol_Arg1_P2_FL;849.597328384784
02_Sol1_Arg;Sol_Arg8_P3_FL;393.2831578393729
02_Sol1_Arg;Sol_Arg2_P2_FL;740.9675573223778
02_Sol1_Arg;Sol_Arg1_P2_MR;736.5462450947881
09_Sol2_Lau;Sol_Lau5_P3_FR;637.6508381501931
09_Sol2_Lau;Sol_Lau5_P3_ML;629.1097053074914
09_Sol2_Lau;Sol_Lau1_P1_FR;517.6752691354967
09_Sol2_Lau;Sol_Lau2_P2_FR;866.8885684759704
09_Sol2_Lau;Sol_Lau1_P1_ML;684.1602961134795
09_Sol2_Lau;Sol_Lau4_P3_ML;584.1765045714711
09_Sol2_Lau;Sol_Lau2_P2_ML;655.0431165530879
09_Sol2_Lau;Sol_Lau4_P3_FR;680.1898525407511
05_Sol1_Cel;Sol_Cel7_P1_FL;863.7886183180476
05_Sol1_Cel;Sol_Cel1_P3_MR;743.0317405012165
05_Sol1_Cel;Sol_Cel4_P2_FL;1387.7885514812206
05_Sol1_Cel;Sol_Cel3_P3_FL;1171.7568589004059
05_Sol1_Cel;Sol_Cel3_P3_MR;626.6260430770275
05_Sol1_Cel;Sol_Cel7_P1_MR;1042.4957578285237
05_Sol1_Cel;Sol_Cel4_P2_MR;1313.7553343122122
05_Sol1_Cel;Sol_Cel1_P3_FL;826.0500782354078
06_Sol2_Cel;Sol_Cel3_P1_FR;808.0325367467424
06_Sol2_Cel;Sol_Cel4_P2_ML;1309.2761881595547
06_Sol2_Cel;Sol_Cel3_P1_ML;945.2580619836905
06_Sol2_Cel;Sol_Cel4_P2_FR;1399.6706923335582
06_Sol2_Cel;Sol_Cel7_P2_FR;805.554285905143
06_Sol2_Cel;Sol_Cel1_P3_FR;828.3829985390221
06_Sol2_Cel;Sol_Cel1_P3_ML;736.9645800033915
06_Sol2_Cel;Sol_Cel7_P2_ML;1179.41215627696
03_Sol2_Arg;Sol_Arg8_P1_FR;512.9931761236967
03_Sol2_Arg;Sol_Arg2_P3_ML;883.6248059456973
03_Sol2_Arg;Sol_Arg1_P2_FR;846.4386125069171
03_Sol2_Arg;Sol_Arg3_P1_ML;786.6501889754851
03_Sol2_Arg;Sol_Arg8_P1_ML;559.6267895999621
03_Sol2_Arg;Sol_Arg3_P1_FR;901.514875701368
03_Sol2_Arg;Sol_Arg2_P3_FR;903.5057531365057
03_Sol2_Arg;Sol_Arg1_P2_ML;731.9012978015566
08_Sol1_Lau;Sol_Lau5_P2_MR;795.451518908118
08_Sol1_Lau;Sol_Lau4_P3_FL;681.9295684162411
08_Sol1_Lau;Sol_Lau1_P1_FL;524.8710119898074
08_Sol1_Lau;Sol_Lau4_P3_MR;578.9885647142984
08_Sol1_Lau;Sol_Lau2_P1_MR;714.3088533447585
08_Sol1_Lau;Sol_Lau5_P2_FL;403.4589919367399
08_Sol1_Lau;Sol_Lau1_P1_MR;688.0771168634188
08_Sol1_Lau;Sol_Lau2_P1_FL;543.592714493136

